SampleID	Site	Keep	Original_Sample_Name	Owner	Sample_date_Month_Year	Description	Detailed_Description	Country_class	LandUse	Original_Region	Island	Region	SoilOrder	Soil_Subgroup	Lat	Long	Rainfall	Rainfall_unit	pH	pH_details	Resin_P	Resin_P_Units	Olsen_P	Olsen_P_Units	K	K_Units	Ca	Ca_Units	Mg	Mg_Units	Na	Na_Units	CEC	CEC_Units	Total_Base_Saturation	TBS_Units	Sulfate	Sulfate_Unit	Soil_water_content	Soil_water_content_Units	NO3_N	NO3_unit	NO4_N 	NO4_unit	Total_nitrogen 	Total_nitrogen_Unit	Total_carbon 	Total_carbon_unit	Olsen_P	Olsen_P_Unit	DEA 	DEA_Units	DR 	DR_Units	N2O 	N2O_Units	N2 	N2_Unit	N2O_slash_N2OplusN2	Soluble_C 	Soluble_C_Unit	MBC 	MBC_Unit	N2O_N20_N2_50	N2O_NO_N20_N2_50	Max_N2O_N2O_N2	Max_N2O_NO_N2O_N2	Max_N2O	Max_NO	16S_quantity	NozI 	NirS	NifH	NirK	NosZII	NozI_percent	NirS_percent	NirK_percent	NosZII_percent	NifH_percent	NehaCode	NirK_Phylotype_Number	NirS_Phylotype_Number	NirK_Plus_NirS	NosZ_Phylotype_Number	diversity_nirK_1	eveness_nirK_1	diversity_nirS_1	Evenness_nirS_1	diversity_nosZ_1	eveness_nosZ_1	rpoB_gene_copies 	rpoB_Gene_Copies_Unit	nirK_gene_copies 	nirK_Gene_Copies_Unit 	nirS_Gene_Copies 	nirS_Gene_Copies_Unit	nirS_Plus_K_gene_copies	nirS_Plus_K_gene_copies_Unit	Nosz_Gene_Copies 	Nosz_Gene_Copies_Unit	Anion_Storage_Capacity	Anion_Storage_Capacity_Unit	Extractable_Organic_Sulphur	Extractable_Organic_Sulphur_Unit	Anaerobically_Mineralisable_N	Anaerobically_Mineralisable_N_Unit	AMN_Over_TN	AMN_Over_TN_Unit	Total_Sulphur	Total_Sulphur_unit
1WP		Yes	Warepa	Sainur	May-14			Low Country	Other	Otago	South Island	Otago	Pallic	Mottled Fragic Pallic	-45.8561111	170.3955556	3.11041096		6.06	in water																																												0.596942525	0.596290286	0.673	0.668041049	26.76160379	0.382086555	7455932	57502	6976	151191	7602	18818	0.77	0.09	0.1	0.25	2.03																															
20TM		Yes	Templeton	Sainur	May-14				Other	Mid Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.61666667	172.4166667	2.65287671		6.36	in water																																												0.206365162	0.205902831	0.32	0.317789141	2.66478774	0.095049783	6114462	17225	1178	48765	10174	150469	0.28	0.02	0.17	2.46	0.8																															
21TM		Yes	Templeton	Sainur	May-14				Other	Mid Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.61666667	172.4166667	2.65287671		6.36	in water																																												0.196869234	0.196424562	0.29	0.318523731	2.561212256	0.112039224	6223423	11703	189	43068	10098	151936	0.19	0	0.16	2.44	0.69																															
22MW		Yes	Manawatu	Sainur	May-14				High Country	Manawatu	North Island	Manawatu-Wanganui	Brown	Acidic Allophanic Brown	-40.1205	176.2319	3.76331492		5.62	in water																																												0.773426187	0.771958494	0.799	0.78218789	26.44949861	0.604900196	10233007	49907	19666	236508	8158	47078	0.49	0.19	0.08	0.46	2.31																															
24MW		Yes	Manawatu	Sainur	May-14				High Country	Manawatu	North Island	Manawatu-Wanganui	Brown	Acidic Allophanic Brown	-40.1205	176.2319	3.76331492		5.62	in water																																												0.713940414	0.712516268	0.793	0.796264041	22.05343994	0.691331082	7971193	44719	19240	229776	9442	75145	0.56	0.24	0.12	0.94	2.88																															
25HR		Yes	Horotiu	Sainur	May-14				Dairy	Waikato	North Island	Waikato	Gley	Typic Orthic Gley	-37.77277778	175.3536111	3.5		5.57	in water																																												0.862813731	0.848495581	0.869	0.850331273	59.01678234	2.353332841	6368302	12230	363	79922	15560	32831	0.19	0.01	0.24	0.52	1.26																															
26HR		Yes	Horotiu	Sainur	May-14				Dairy	Waikato	North Island	Waikato	Gley	Typic Orthic Gley	-37.77277778	175.3536111	3.5		5.57	in water																																												0.85793818	0.849056949	0.871	0.853798564	54.61763063	2.608324309	4503505	8163	239	71448	10214	36139	0.18	0.01	0.23	0.8	1.59																															
27HR		Yes	Horotiu	Sainur	May-14				Dairy	Waikato	North Island	Waikato	Gley	Typic Orthic Gley	-37.77277778	175.3536111	3.5		5.57	in water																																												0.879244856	0.867759154	0.879	0.867759154	55.7707803	2.643109247	4896903	21673	1797	94302	8715	24493	0.44	0.04	0.18	0.5	1.93																															
28TK		Yes	Te Kowhai	Sainur	May-14				Dairy	Waikato	North Island	Waikato	Gley	Typic Orthic Gley	-37.77416667	175.3513889	3.5		5.74	in water																																												0.759896192	0.759245933	0.782	0.772257955	33.65931391	0.568074238	7625994	57177	17117	203658	11054	33401	0.75	0.22	0.14	0.44	2.67																															
29TK		Yes	Te Kowhai	Sainur	May-14				Dairy	Waikato	North Island	Waikato	Gley	Typic Orthic Gley	-37.77416667	175.3513889	3.5		5.74	in water																																												0.737479117	0.736886204	0.775	0.780628623	33.29584696	0.579676331	7116975	57449	16380	196049	11669	30250	0.81	0.23	0.16	0.43	2.75																															
2WP		Yes	Warepa	Sainur	May-14				High Country	Otago	South Island	Otago	Pallic	Mottled Fragic Pallic	-45.85611111	170.3955556	3.11041096		6.06	in water																																												0.560768444	0.560106795	0.677	0.670719871	25.20739461	0.415217904	6708072	32227	8326	164356	10791	19458	0.48	0.12	0.16	0.29	2.45																															
30TK		Yes	Te Kowhai	Sainur	May-14				Dairy	Waikato	North Island	Waikato	Gley	Typic Orthic Gley	-37.77416667	175.3513889	3.5		5.74	in water																																												0.781679883	0.781016915	0.775	0.789933575	41.23150137	0.590177737	6565837.625	30978.46631	5772.558228	158743.7617	11343.64551	32991.47119	0.47181286	0.087918078	0.172767683	0.502471628	2.417722929																															
3WP		Yes	Warepa	Sainur	May-14				High Country	Otago	South Island	Otago	Pallic	Mottled Fragic Pallic	-45.85611111	170.3955556	3.11041096		6.06	in water																																												0.596567256	0.595850627	0.694	0.690015594	30.02610375	0.568714638	7447349	60611	16033	266080	8771	22163	0.81	0.22	0.12	0.3	3.57																															
4OK		Yes	Otokia	Sainur	May-14				Other	Otago	South Island	Otago	Recent	Weathered Fluvial Recent	-45.86305556	170.3841667	3.11041096		5.9	in water																																												0.258768567	0.258773397	0.679	0.640573418	17.23753497	0.278135008	8146926	90238	21960	553944	10868	20629	1.11	0.27	0.13	0.25	6.8																															
5OK		Yes	Otokia	Sainur	May-14				Other	Otago	South Island	Otago	Recent	Weathered Fluvial Recent	-45.86305556	170.3841667	3.11041096		5.9	in water																																												0.10558	0.105569	0.646	0.663865459	15.61887119	0.31022901	4994218	41319	8902	493890	11212	27747	0.83	0.18	0.22	0.56	9.89																															
6OK		Yes	Otokia	Sainur	May-14				Other	Otago	South Island	Otago	Recent	Weathered Fluvial Recent	-45.86305556	170.3841667	3.11041096		5.9	in water																																												0.199140206	0.199121682	0.666	0.676230361	19.4950379	0.311497998	5540237	44013	8075	445171	11450	33729	0.79	0.15	0.21	0.61	8.04																															
7WT		Yes	Wingatui	Sainur	May-14				Other	Otago	South Island	Otago	Recent	Weathered Fluvial Recent	-45.86277778	170.385	3.11041096		5.83	in water																																												0.73039347	0.729611231	0.753	0.722114623	37.58489846	0.188172204	5900584	18398	2222	112197	3290	8685	0.31	0.04	0.06	0.15	1.9																															
8WT		Yes	Wingatui	Sainur	May-14				Other	Otago	South Island	Otago	Recent	Weathered Fluvial Recent	-45.86277778	170.385	3.11041096		5.83	in water																																												0.72913332	0.728310018	0.748	0.747111228	32.55236061	0.188251567	4177740	21579	6875	146587	3223	13562	0.52	0.16	0.08	0.32	3.51																															
9WT		Yes	Wingatui	Sainur	May-14				Other	Otago	South Island	Otago	Recent	Weathered Fluvial Recent	-45.86277778	170.385	3.11041096		5.83	in water																																												0.692236854	0.69152335	0.724	0.750773395	40.23445775	0.190585611	4427239	8147	725	76306	1526	4854	0.18	0.02	0.03	0.11	1.72																															
AF1.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	29	mg/kg	12	mg/L	0.53	me/100g	7	me/100g	1.52	me/100g	0.09	me/100g	17	me/100g	53	%	5	mg/kg																																																																									
AF1.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	29	mg/kg	9	mg/L	0.59	me/100g	8.1	me/100g	1.63	me/100g	0.11	me/100g	19	me/100g	56	%	7	mg/kg																																																																									
AF10.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF10.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.9	in water	45	mg/kg	12	mg/L	0.49	me/100g	11.1	me/100g	1.79	me/100g	0.11	me/100g	21	me/100g	64	%	14	mg/kg																																																																									
AF10.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		6	in water	44	mg/kg	10	mg/L	0.48	me/100g	10.2	me/100g	1.48	me/100g	0.1	me/100g	18	me/100g	67	%	9	mg/kg																																																																									
AF11.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	29	mg/kg	9	mg/L	0.59	me/100g	8.1	me/100g	1.63	me/100g	0.11	me/100g	19	me/100g	56	%	7	mg/kg																																																																									
AF11.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	29	mg/kg	9	mg/L	0.59	me/100g	8.1	me/100g	1.63	me/100g	0.11	me/100g	19	me/100g	56	%	7	mg/kg																																																																									
AF12.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF12.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	25	mg/kg	11	mg/L	0.58	me/100g	6.8	me/100g	1.5	me/100g	0.09	me/100g	18	me/100g	51	%	4	mg/kg																																																																									
AF12.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	34	mg/kg	9	mg/L	0.59	me/100g	7.8	me/100g	1.71	me/100g	0.12	me/100g	20	me/100g	52	%	4	mg/kg																																																																									
AF2.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF2.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		6	in water	44	mg/kg	10	mg/L	0.48	me/100g	10.2	me/100g	1.48	me/100g	0.1	me/100g	18	me/100g	67	%	9	mg/kg																																																																									
AF3.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF3.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	34	mg/kg	9	mg/L	0.59	me/100g	7.8	me/100g	1.71	me/100g	0.12	me/100g	20	me/100g	52	%	4	mg/kg																																																																									
AF4.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF4.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	25	mg/kg	11	mg/L	0.58	me/100g	6.8	me/100g	1.5	me/100g	0.09	me/100g	18	me/100g	51	%	4	mg/kg																																																																									
AF4.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	34	mg/kg	9	mg/L	0.59	me/100g	7.8	me/100g	1.71	me/100g	0.12	me/100g	20	me/100g	52	%	4	mg/kg																																																																									
AF5.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF5.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	29	mg/kg	12	mg/L	0.53	me/100g	7	me/100g	1.52	me/100g	0.09	me/100g	17	me/100g	53	%	5	mg/kg																																																																									
AF5.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	29	mg/kg	9	mg/L	0.59	me/100g	8.1	me/100g	1.63	me/100g	0.11	me/100g	19	me/100g	56	%	7	mg/kg																																																																									
AF6.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF6.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.9	in water	45	mg/kg	12	mg/L	0.49	me/100g	11.1	me/100g	1.79	me/100g	0.11	me/100g	21	me/100g	64	%	14	mg/kg																																																																									
AF6.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		6	in water	44	mg/kg	10	mg/L	0.48	me/100g	10.2	me/100g	1.48	me/100g	0.1	me/100g	18	me/100g	67	%	9	mg/kg																																																																									
AF7.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF7.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.9	in water	45	mg/kg	12	mg/L	0.49	me/100g	11.1	me/100g	1.79	me/100g	0.11	me/100g	21	me/100g	64	%	14	mg/kg																																																																									
AF7.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		6	in water	44	mg/kg	10	mg/L	0.48	me/100g	10.2	me/100g	1.48	me/100g	0.1	me/100g	18	me/100g	67	%	9	mg/kg																																																																									
AF8.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF8.B	AF	Yes	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	25	mg/kg	11	mg/L	0.58	me/100g	6.8	me/100g	1.5	me/100g	0.09	me/100g	18	me/100g	51	%	4	mg/kg																																																																									
AF8.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	34	mg/kg	9	mg/L	0.59	me/100g	7.8	me/100g	1.71	me/100g	0.12	me/100g	20	me/100g	52	%	4	mg/kg																																																																									
AF9.A	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.6	in water	23	mg/kg	8	mg/L	0.54	me/100g	8.1	me/100g	1.56	me/100g	0.1	me/100g	20	me/100g	53	%	3	mg/kg																																																																									
AF9.C	AF	No	Abbotsford	Rachel	Nov-14			Low Country	Other	Otago	South Island	Otago	Brown	Typic Firm Brown	-45.803056	170.128889	2.03353293		5.7	in water	29	mg/kg	9	mg/L	0.59	me/100g	8.1	me/100g	1.63	me/100g	0.11	me/100g	19	me/100g	56	%	7	mg/kg																																																																									
Arari1.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari10.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari11.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari12.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari2.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari3.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari4.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari5.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari6.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari7.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari8.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
Arari9.A	Orari	No	Orari	Rachel	Nov-14			Low Country	Dairy	South Canterbury	South Island	Canterbury	Pallic	Typic Orthic Brown	-44.156389	171.303611	1.70520548		5.6	in water	107	mg/kg	36	mg/L	0.63	me/100g	13.2	me/100g	3.82	me/100g	0.25	me/100g	27	me/100g	67	%	25	mg/kg																																																																									
AV1.A	AV	No	Annavale	Rachel	Nov-14			High Country	High Country	North Canterbury	South Island	Canterbury	Pallic	Typic Immature Pallic	-43.33	171.862222	2.7139726		5.9	in water	47	mg/kg	36	mg/L	1.24	me/100g	10.8	me/100g	2.16	me/100g	0.09	me/100g	27	me/100g	63	%	25	mg/kg																																																																									
